interaction_id,user_id,session_id,turn_index,timestamp,support_mode,fragment,fragment_word_count,pause_intervals,repetition_detected,camera_enabled,visible_objects,pointing_target,pointing_confidence,candidate_1,candidate_2,candidate_3,top1_before_learning,confirmed_text,user_feedback,reward,memory_similarity,learned_rank_score,policy_version,split
i_00032,user_33,user_33_s00,0,1700001184,other,I want... that... cannot...,4,1.8;1.5,0,0,,,0.0,I need help.,I need my jacket.,I need my tablet.,I need help.,I need help.,accepted,1,0.074,0.422,1,train
i_00033,user_34,user_34_s00,0,1700001221,speech_language,uh... much... much...,3,1.0,0,1,break;blanket,,0.0,I need a break.,I need my phone.,I need my blanket.,I need a break.,I need a break.,accepted,1,0.069,0.421,1,train
i_00034,user_35,user_35_s00,0,1700001258,aphasia_word_finding,out...,1,2.1,0,1,headphones;leave,leave,0.69,I need my glasses.,I need my headphones.,I want to leave.,I want to leave.,I want to leave.,accepted,1,0.147,0.651,1,train
i_00035,user_36,user_36_s00,0,1700001295,cognitive_fatigue,can you get... stuck...,4,2.7;1.7,1,1,help;jacket,help,0.67,I need my jacket.,I need my phone.,I need help.,I need help.,I need help.,accepted,1,0.121,0.637,1,train
i_00036,user_37,user_37_s00,0,1700001332,autism_neurodivergent,uh... crowd... crowd...,3,0.8;2.3,1,1,phone;alone,,0.0,I need my phone.,I want to be alone for a bit.,I need my notebook.,I need my notebook.,I want to be alone for a bit.,rejected,-1,0.12,0.436,1,train
i_00037,user_38,user_38_s00,0,1700001369,autism_neurodivergent,I... um... soft...,3,1.5,0,0,,,0.0,I need my jacket.,I need my glasses.,I need my blanket.,I need my jacket.,I need my blanket.,rejected,-1,0.102,0.431,1,train
i_00038,user_39,user_39_s00,0,1700001406,prefer_not_to_say,uh... read... read...,3,2.2;1.3,1,0,,,0.0,I need my charger.,I need my jacket.,I need my glasses.,I need my glasses.,I need my glasses.,accepted,1,0.075,0.423,1,train
i_00039,user_40,user_40_s00,0,1700001443,prefer_not_to_say,I want... that... stuck...,4,1.4;1.5,1,0,,,0.0,I need my glasses.,I need my phone.,I need help.,I need my glasses.,I need help.,rejected,-1,0.084,0.425,1,train
i_00040,user_01,user_01_s00,1,1700001480,prefer_not_to_say,uh... drink... drink...,3,0.8;2.0,0,0,,,0.0,I need my jacket.,I need my charger.,I need some water.,I need my charger.,I need some water.,rejected,-1,0.306,0.492,2,train
i_00041,user_02,user_02_s00,1,1700001517,aphasia_word_finding,I need... metal...,3,1.6;2.2,0,1,water;keys,,0.0,I need my glasses.,I need some water.,I need my keys.,I need my glasses.,I need my keys.,rejected,-1,0.056,0.417,1,train
i_00042,user_03,user_03_s00,1,1700001554,aphasia_word_finding,can we... blue...,3,2.4;2.8,0,0,,,0.0,I need my headphones.,I need my jacket.,I need my phone.,I need my headphones.,I need my headphones.,accepted,1,0.116,0.435,1,train
i_00043,user_04,user_04_s00,1,1700001591,prefer_not_to_say,can you get... book...,4,2.4;1.6,1,0,,,0.0,I need my glasses.,I need my keys.,I need my notebook.,I need my glasses.,I need my notebook.,rejected,-1,0.127,0.438,1,train
i_00044,user_05,user_05_s00,1,1700001628,aac,uh... home... home...,3,2.4,1,1,leave;phone,leave,0.71,I want to leave.,I need my phone.,I need my charger.,I want to leave.,I want to leave.,accepted,1,0.053,0.629,1,train
i_00045,user_06,user_06_s00,1,1700001665,autism_neurodivergent,can we... soft...,3,2.6;1.3,0,0,,,0.0,I need my jacket.,I need my blanket.,I need my charger.,I need my jacket.,I need my blanket.,rejected,-1,0.122,0.437,1,train
i_00046,user_07,user_07_s00,1,1700001702,aphasia_word_finding,blue...,1,2.6,0,0,,,0.0,I need my notebook.,I need my blanket.,I need some water.,I need my blanket.,I need my notebook.,rejected,-1,0.131,0.439,1,train
i_00047,user_08,user_08_s00,1,1700001739,cognitive_fatigue,I... um... noise...,3,1.5,0,1,quiet;tablet,,0.0,I need my tablet.,It is too loud.,I need my phone.,It is too loud.,It is too loud.,accepted,1,0.125,0.438,1,train
i_00048,user_09,user_09_s00,1,1700001776,autism_neurodivergent,I need... that... go...,4,2.0;2.1,0,1,notebook;leave,leave,0.72,I want to leave.,I need my notebook.,I need my tablet.,I want to leave.,I want to leave.,accepted,1,0.063,0.635,1,train
i_00049,user_10,user_10_s00,1,1700001813,autism_neurodivergent,I want... that... stop...,4,2.5;1.9,0,1,break;jacket,break,0.65,I need my tablet.,I need a break.,I need my jacket.,I need a break.,I need a break.,accepted,1,0.074,0.617,1,train
i_00050,user_11,user_11_s00,1,1700001850,aac,much...,1,0.7;1.2,1,0,,,0.0,I need my notebook.,I need my keys.,I need a break.,I need my notebook.,I need a break.,rejected,-1,0.134,0.44,1,train
i_00051,user_12,user_12_s00,1,1700001887,aac,can we... stop...,3,1.1;1.4,0,1,break;blanket,,0.0,I need my blanket.,I need a break.,I need some water.,I need my blanket.,I need a break.,rejected,-1,0.11,0.433,1,train
i_00052,user_13,user_13_s00,1,1700001924,aac,loud...,1,1.5,0,1,quiet;headphones,quiet,0.67,I need my headphones.,I need my charger.,It is too loud.,It is too loud.,It is too loud.,accepted,1,0.105,0.633,1,train
i_00053,user_14,user_14_s00,1,1700001961,cognitive_fatigue,I... um... screen...,3,1.5;0.6,0,1,tablet;glasses,,0.0,I need my jacket.,I need my tablet.,I need my glasses.,I need my jacket.,I need my tablet.,rejected,-1,0.107,0.432,1,train
i_00054,user_15,user_15_s00,1,1700001998,cognitive_fatigue,I need... that... stop...,4,1.9;1.4,0,0,,,0.0,I need my phone.,I need a break.,I need my glasses.,I need my phone.,I need a break.,rejected,-1,0.132,0.44,1,train
i_00055,user_16,user_16_s00,1,1700002035,cognitive_fatigue,I need... that... door...,4,2.6,1,0,,,0.0,I need my notebook.,I need my charger.,I need my keys.,I need my notebook.,I need my keys.,rejected,-1,0.246,0.474,2,train
i_00056,user_17,user_17_s00,1,1700002072,aphasia_word_finding,I... um... tired...,3,2.0;1.0,0,1,break;headphones,break,0.83,I need my headphones.,I need a break.,I need my keys.,I need a break.,I need a break.,accepted,1,0.136,0.69,1,train
i_00057,user_18,user_18_s00,1,1700002109,cognitive_fatigue,I... um... cord...,3,0.9;1.9,0,1,keys;charger,,0.0,I need my keys.,I need my glasses.,I need my charger.,I need my charger.,I need my charger.,accepted,1,0.054,0.416,1,train
i_00058,user_19,user_19_s00,1,1700002146,aphasia_word_finding,I need... that... much...,4,1.6,0,1,quiet;jacket,quiet,0.73,I need my jacket.,I need my phone.,It is too loud.,It is too loud.,It is too loud.,accepted,1,0.099,0.649,1,train
i_00059,user_20,user_20_s00,1,1700002183,prefer_not_to_say,uh... stuck... stuck...,3,2.3;1.7,1,1,help;glasses,help,0.59,I need my notebook.,I need help.,I need my glasses.,I need help.,I need help.,accepted,1,0.243,0.65,2,train
i_00060,user_21,user_21_s00,1,1700002220,aphasia_word_finding,I need... stuck...,3,0.9;2.6,0,1,help;notebook,help,0.87,I need my notebook.,I need my tablet.,I need help.,I need help.,I need help.,accepted,1,0.085,0.687,1,train
i_00061,user_22,user_22_s00,1,1700002257,cognitive_fatigue,uh... cup... cup...,3,1.0;2.7,0,0,,,0.0,I need my charger.,I need my jacket.,I need some water.,I need my charger.,I need some water.,rejected,-1,0.07,0.421,1,train
i_00062,user_23,user_23_s00,1,1700002294,aac,can you get... cup...,4,1.2,0,0,,,0.0,I need some water.,I need my headphones.,I need my tablet.,I need my tablet.,I need some water.,rejected,-1,0.119,0.436,1,train
i_00063,user_24,user_24_s00,1,1700002331,prefer_not_to_say,I want... that... noise...,4,2.4;1.2,0,1,quiet;glasses,quiet,0.58,I need my glasses.,I need my charger.,It is too loud.,It is too loud.,It is too loud.,accepted,1,0.146,0.618,1,train
i_00064,user_25,user_25_s00,1,1700002368,cognitive_fatigue,I need... app...,3,0.6,1,1,tablet;headphones,tablet,0.7,I need my headphones.,I need my phone.,I need my tablet.,I need my tablet.,I need my tablet.,accepted,1,0.111,0.643,1,train
i_00065,user_26,user_26_s00,1,1700002405,cognitive_fatigue,cord...,1,1.6,1,1,keys;charger,charger,0.88,I need my keys.,I need my jacket.,I need my charger.,I need my charger.,I need my charger.,accepted,1,0.13,0.703,1,train
i_00066,user_27,user_27_s00,1,1700002442,prefer_not_to_say,I want... that... noise...,4,1.1;2.6,1,0,,,0.0,It is too loud.,I need my headphones.,I need my tablet.,I need my tablet.,It is too loud.,rejected,-1,0.094,0.428,1,train
i_00067,user_28,user_28_s00,1,1700002479,prefer_not_to_say,stuck...,1,1.5,0,0,,,0.0,I need some water.,I need my headphones.,I need help.,I need help.,I need help.,accepted,1,0.144,0.443,1,train
i_00068,user_29,user_29_s00,1,1700002516,aphasia_word_finding,I want... that... stuck...,4,2.2;1.6,0,0,,,0.0,I need help.,I need my notebook.,I need my jacket.,I need help.,I need help.,accepted,1,0.088,0.426,1,train
i_00069,user_30,user_30_s00,1,1700002553,other,I want... that... stop...,4,2.0;2.7,0,1,break;phone,,0.0,I need a break.,I need my headphones.,I need my phone.,I need my phone.,I need a break.,rejected,-1,0.147,0.444,1,train
i_00070,user_31,user_31_s00,1,1700002590,cognitive_fatigue,I want... that... blue...,4,1.4,0,0,,,0.0,I need my headphones.,I need my jacket.,I need my tablet.,I need my headphones.,I need my headphones.,accepted,1,0.089,0.427,1,train
i_00071,user_32,user_32_s00,1,1700002627,cognitive_fatigue,uh... much... much...,3,2.3;1.5,0,0,,,0.0,I need my blanket.,I need my keys.,I need a break.,I need my blanket.,I need a break.,rejected,-1,0.107,0.432,1,train
i_00072,user_33,user_33_s00,1,1700002664,other,I need... door...,3,2.1,0,1,headphones;keys,keys,0.61,I need my headphones.,I need my notebook.,I need my keys.,I need my keys.,I need my keys.,accepted,1,0.119,0.619,1,train
i_00073,user_34,user_34_s00,1,1700002701,speech_language,can you get... go...,4,0.8,0,1,glasses;leave,leave,0.56,I need my glasses.,I want to leave.,I need my notebook.,I want to leave.,I want to leave.,accepted,1,0.098,0.597,1,train
i_00074,user_35,user_35_s00,1,1700002738,aphasia_word_finding,I need... that... out...,4,1.6,0,1,leave;jacket,leave,0.85,I want to leave.,I need my headphones.,I need my jacket.,I want to leave.,I want to leave.,accepted,1,0.309,0.748,2,train
i_00075,user_36,user_36_s00,1,1700002775,cognitive_fatigue,can you get... see...,4,2.7,0,1,jacket;glasses,glasses,0.85,I need my jacket.,I need some water.,I need my glasses.,I need my glasses.,I need my glasses.,accepted,1,0.06,0.673,1,train
i_00076,user_37,user_37_s00,1,1700002812,autism_neurodivergent,I... um... soft...,3,1.7,0,0,,,0.0,I need my phone.,I need my jacket.,I need my blanket.,I need my phone.,I need my blanket.,rejected,-1,0.144,0.443,1,train
i_00077,user_38,user_38_s00,1,1700002849,autism_neurodivergent,can we... coat...,3,1.1;1.2,0,0,,,0.0,I need my notebook.,I need my jacket.,I need my keys.,I need my notebook.,I need my jacket.,rejected,-1,0.115,0.434,1,train
i_00078,user_39,user_39_s00,1,1700002886,prefer_not_to_say,uh... stuck... stuck...,3,1.6,0,1,water;help,help,0.68,I need my blanket.,I need some water.,I need help.,I need help.,I need help.,accepted,1,0.124,0.641,1,train
i_00079,user_40,user_40_s00,1,1700002923,prefer_not_to_say,can we... stop...,3,1.9;1.4,0,1,break;keys,break,0.83,I need my keys.,I need a break.,I need my phone.,I need a break.,I need a break.,accepted,1,0.147,0.693,1,train
i_00080,user_01,user_01_s00,2,1700002960,prefer_not_to_say,I... um... warm...,3,1.2,0,1,notebook;jacket,,0.0,I need my jacket.,I need my notebook.,I need my phone.,I need my jacket.,I need my jacket.,accepted,1,0.07,0.421,1,train
i_00081,user_02,user_02_s00,2,1700002997,aphasia_word_finding,I need... that... thing...,4,2.5;2.1,0,1,jacket;headphones,headphones,0.85,I need my jacket.,I need my charger.,I need my headphones.,I need my jacket.,I need my headphones.,rejected,-1,0.107,0.687,1,train
i_00082,user_03,user_03_s00,2,1700003034,aphasia_word_finding,much...,1,1.2,0,1,break;water,break,0.83,I need my notebook.,I need a break.,I need some water.,I need a break.,I need a break.,accepted,1,0.121,0.685,1,train
i_00083,user_04,user_04_s00,2,1700003071,prefer_not_to_say,can we... stuck...,3,1.7,1,0,,,0.0,I need my headphones.,I need my glasses.,I need help.,I need my headphones.,I need help.,rejected,-1,0.072,0.422,1,train
i_00084,user_05,user_05_s00,2,1700003108,aac,uh... much... much...,3,2.8,0,0,,,0.0,I need a break.,I need my headphones.,I need my blanket.,I need a break.,I need a break.,accepted,1,0.145,0.444,1,train
i_00085,user_06,user_06_s00,2,1700003145,autism_neurodivergent,I need... soft...,3,2.2;2.7,0,1,jacket;blanket,blanket,0.72,I need my blanket.,I need my tablet.,I need my jacket.,I need my blanket.,I need my blanket.,accepted,1,0.241,0.688,2,train
i_00086,user_07,user_07_s00,2,1700003182,aphasia_word_finding,cannot...,1,1.4,0,0,,,0.0,I need some water.,I need my tablet.,I need help.,I need help.,I need help.,accepted,1,0.122,0.437,1,train
i_00087,user_08,user_08_s00,2,1700003219,cognitive_fatigue,uh... cannot... cannot...,3,2.1;2.8,0,0,,,0.0,I need help.,I need my blanket.,I need my jacket.,I need help.,I need help.,accepted,1,0.077,0.423,1,train
i_00088,user_09,user_09_s00,2,1700003256,autism_neurodivergent,noise...,1,0.7;2.4,0,1,quiet;jacket,,0.0,I need my charger.,I need my jacket.,It is too loud.,I need my charger.,It is too loud.,rejected,-1,0.08,0.424,1,train
i_00089,user_10,user_10_s00,2,1700003293,autism_neurodivergent,I need... cup...,3,2.5,0,0,,,0.0,I need some water.,I need my headphones.,I need my jacket.,I need some water.,I need some water.,accepted,1,0.06,0.418,1,train
i_00090,user_11,user_11_s00,2,1700003330,aac,I need... that... blue...,4,1.0;2.1,0,0,,,0.0,I need my tablet.,I need my notebook.,I need my phone.,I need my phone.,I need my notebook.,rejected,-1,0.129,0.439,1,train
i_00091,user_12,user_12_s00,2,1700003367,aac,can you get... door...,4,1.7,0,1,jacket;keys,,0.0,I need my jacket.,I need my keys.,I need my glasses.,I need my jacket.,I need my keys.,rejected,-1,0.12,0.436,1,train
i_00092,user_13,user_13_s00,2,1700003404,aac,can we... blue...,3,1.0,0,0,,,0.0,I need my headphones.,I need my tablet.,I need my blanket.,I need my headphones.,I need my headphones.,accepted,1,0.15,0.445,1,train
i_00093,user_14,user_14_s00,2,1700003441,cognitive_fatigue,can we... blue...,3,1.4;2.3,0,1,water;notebook,notebook,0.84,I need some water.,I need my notebook.,I need my blanket.,I need my notebook.,I need my notebook.,accepted,1,0.136,0.693,1,train
i_00094,user_15,user_15_s00,2,1700003478,cognitive_fatigue,can we... coat...,3,2.7;2.0,0,1,jacket;keys,jacket,0.88,I need my jacket.,I need my charger.,I need my keys.,I need my jacket.,I need my jacket.,accepted,1,0.077,0.687,1,train
i_00095,user_16,user_16_s00,2,1700003515,cognitive_fatigue,I want... that... home...,4,1.5,1,0,,,0.0,I need my notebook.,I need some water.,I want to leave.,I need some water.,I want to leave.,rejected,-1,0.105,0.431,1,train
i_00096,user_17,user_17_s00,2,1700003552,aphasia_word_finding,I need... that... people...,4,2.0;1.0,0,0,,,0.0,I need my tablet.,I want to be alone for a bit.,I need some water.,I need my tablet.,I want to be alone for a bit.,rejected,-1,0.117,0.435,1,train
i_00097,user_18,user_18_s00,2,1700003589,cognitive_fatigue,I need... see...,3,0.6;1.8,0,0,,,0.0,I need my glasses.,I need my charger.,I need some water.,I need my glasses.,I need my glasses.,accepted,1,0.092,0.428,1,train
i_00098,user_19,user_19_s00,2,1700003626,aphasia_word_finding,can you get... door...,4,2.0,0,1,glasses;keys,,0.0,I need my glasses.,I need my keys.,I need my tablet.,I need my keys.,I need my keys.,accepted,1,0.105,0.431,1,train
i_00099,user_20,user_20_s00,2,1700003663,prefer_not_to_say,I need... app...,3,2.2;1.1,0,0,,,0.0,I need my headphones.,I need my notebook.,I need my tablet.,I need my headphones.,I need my tablet.,rejected,-1,0.097,0.429,1,train
i_00100,user_21,user_21_s00,2,1700003700,aphasia_word_finding,I... um... cord...,3,2.2,1,0,,,0.0,I need my charger.,I need my notebook.,I need my jacket.,I need my notebook.,I need my charger.,rejected,-1,0.141,0.442,1,train
i_00101,user_22,user_22_s00,2,1700003737,cognitive_fatigue,I want... that... book...,4,1.6;1.0,0,0,,,0.0,I need my phone.,I need my notebook.,I need my charger.,I need my phone.,I need my notebook.,rejected,-1,0.145,0.444,1,train
i_00102,user_23,user_23_s00,2,1700003774,aac,uh... cup... cup...,3,2.5;2.2,1,0,,,0.0,I need some water.,I need my keys.,I need my blanket.,I need some water.,I need some water.,accepted,1,0.236,0.471,2,train
i_00103,user_24,user_24_s00,2,1700003811,prefer_not_to_say,I need... that... much...,4,1.2;0.9,0,1,quiet;phone,,0.0,I need my glasses.,I need my phone.,It is too loud.,I need my glasses.,It is too loud.,rejected,-1,0.23,0.469,2,train
i_00104,user_25,user_25_s00,2,1700003848,cognitive_fatigue,I want... that... go...,4,1.3,1,1,leave;water,leave,0.58,I want to leave.,I need some water.,I need my tablet.,I want to leave.,I want to leave.,accepted,1,0.07,0.595,1,train
i_00105,user_26,user_26_s00,2,1700003885,cognitive_fatigue,I need... tired...,3,1.6;1.9,0,1,break;glasses,,0.0,I need my keys.,I need my glasses.,I need a break.,I need my glasses.,I need a break.,rejected,-1,0.139,0.442,1,train
i_00106,user_27,user_27_s00,2,1700003922,prefer_not_to_say,can we... soft...,3,2.5;1.4,0,0,,,0.0,I need my charger.,I need my glasses.,I need my blanket.,I need my charger.,I need my blanket.,rejected,-1,0.15,0.445,1,train
i_00107,user_28,user_28_s00,2,1700003959,prefer_not_to_say,I need... home...,3,1.5;2.7,0,1,charger;leave,leave,0.63,I want to leave.,I need my charger.,I need my jacket.,I want to leave.,I want to leave.,accepted,1,0.071,0.61,1,train
i_00108,user_29,user_29_s00,2,1700003996,aphasia_word_finding,I need... cup...,3,2.5;1.6,0,0,,,0.0,I need my jacket.,I need some water.,I need my glasses.,I need my jacket.,I need some water.,rejected,-1,0.233,0.47,2,train
i_00109,user_30,user_30_s00,2,1700004033,other,can you get... book...,4,2.7;2.8,0,1,water;notebook,,0.0,I need my notebook.,I need some water.,I need my charger.,I need my notebook.,I need my notebook.,accepted,1,0.135,0.441,1,train
i_00110,user_31,user_31_s00,2,1700004070,cognitive_fatigue,I need... noise...,3,0.7;0.9,0,0,,,0.0,I need my headphones.,I need my blanket.,It is too loud.,It is too loud.,It is too loud.,accepted,1,0.124,0.437,1,train
i_00111,user_32,user_32_s00,2,1700004107,cognitive_fatigue,I want... that... much...,4,1.4,0,0,,,0.0,I need my keys.,I need my tablet.,I need a break.,I need my keys.,I need a break.,rejected,-1,0.256,0.477,2,train
i_00112,user_33,user_33_s00,2,1700004144,other,uh... door... door...,3,2.5;2.0,0,1,phone;keys,keys,0.8,I need my headphones.,I need my keys.,I need my phone.,I need my keys.,I need my keys.,accepted,1,0.326,0.738,2,train
i_00113,user_34,user_34_s00,2,1700004181,speech_language,can you get... tired...,4,0.7,0,1,charger;break,break,0.73,I need some water.,I need my charger.,I need a break.,I need some water.,I need a break.,rejected,-1,0.271,0.7,2,train
i_00114,user_35,user_35_s00,2,1700004218,aphasia_word_finding,uh... read... read...,3,1.2,0,1,glasses;notebook,glasses,0.94,I need my notebook.,I need my charger.,I need my glasses.,I need my glasses.,I need my glasses.,accepted,1,0.134,0.722,1,train
i_00115,user_36,user_36_s00,2,1700004255,cognitive_fatigue,loud...,1,1.7;1.6,0,1,notebook;quiet,quiet,0.84,I need my glasses.,It is too loud.,I need my notebook.,I need my glasses.,It is too loud.,rejected,-1,0.131,0.691,1,train
i_00116,user_37,user_37_s00,2,1700004292,autism_neurodivergent,can we... warm...,3,2.2,0,0,,,0.0,I need my headphones.,I need my keys.,I need my jacket.,I need my headphones.,I need my jacket.,rejected,-1,0.134,0.44,1,train
i_00117,user_38,user_38_s00,2,1700004329,autism_neurodivergent,I want... that... coat...,4,2.5;2.6,0,1,water;jacket,,0.0,I need some water.,I need my phone.,I need my jacket.,I need some water.,I need my jacket.,rejected,-1,0.303,0.491,2,train
